1	Promiseram quidem nobis ante tempus epistolam, filii carissimi, quae omnium morum instituta de lege commendans summatim omnia Contineret quaecumque uniuersis clericis generaliter ad dirigendam regulam competunt disciplinae. sed quia nunc feminarum commoratione uulgariter inter uos quidam ignominiae deuoluti sunt, etiam de hac re specialiter uobis Domini correptione scribere compulsus sum: qui miserum me pro uestra neglegentia cum seueritate conueniens mandare praecepit, ne clerici cum feminis commorentur. et licet haec admonitio sola litterarum mearum auctoritate sufficeret, tamen ne me somniatorem inrideat quisquam, sicut Ioseph fratres inriserunt, scripturarum addimus firmitatem, ut omnes sciant hoc etiam modo per reuelationem Dominum iubere, quod litteris cognoscitur ante iussisse, nec nos esse adulterantes uerbum Domini aut uolentes iactanter de reuelationibus gloriari, sed sic ante conspectum Domini referendo non mentiri quod loquimur: sicut a Domino confidimus nos non 2 fiamus ergo] eimua itaque X, itaque simus v. — Erplicit de XII abusiuia saeculi G, Eiplicit sci ioli Chrisostomi ex epistula beati Pauli apostoli ad corinthios prima (sic) X, om. V . — . Incipit de ringularitate clericorum (cypriani add. maft. rec.) C. — 5 promisaram C, emiseram v 6 omnia etiam v 8 de feminaram v 9 ignominiae C, ad ignominiam coni. Pamelwts, ignominiose coni. Erasmus 10 scribere om. C 11 conueniens C, eorripiens v 13 me om. C 14 rideat C audisse mendacium praesumentes uocem apostoli Pauli protestantis, non enim sumus, inquit, sicut plurimi adulterantes uerbum Dei, sed ex sinceritate sicut ex Deo coram ipso in Christo loquimur. in dolore itaque maximo constituti de quibusdam tabefactis membris corporis nostri et in gemitu iacturam lamentantis ecclesiae, quae per segnitiem nostram redigitur per dies singulos ad nimiam paucitatem, credimus nos ex parte aliqua subleuari, quod diligentiae nostrae neglegentia quorundam obesse non possit, quibus numquam nostrae litterae defuerunt, quae per absentiam meam frequentiam omnibus pensauerunt. dissimulationis suae unusquisque contemptor reum semet ipse conscribat, nos autem libera fronte contemptoribus exclamamus quod Salomon confidenter exprobrat: quoniam quidem uocabam, inquit, non obaudiebatis: et extendebam uerba mea, et non intendebatis, sed irrita faciebatis mea consilia, meis autem increpationibus non intendebatis: itaque et ego uestrae perditioni superridebo. gratulabor ergo aduersum uos, cum aduenerit uobis interitus, cum aduenerit uobis subito tumultus, euersio autem similis procellae, et cum aduenerit uobis pressura et expugnatio. erit enim cum me inuocaueritis, ego autem non exaudiam uos. quaerent me mali, et non inuenient: oderunt enim sapientiam. uerbumautem Domini non adsumpserunt neque uoluerunt meis consiliis intendere. spreuerunt enim meas correptiones: ideoque edent uiae suae fructus et sua impietate satiabuntur. 
2	 Ad uos nunc exhortatio nostra conuertitur quos nolumus experiri talia praecipitia ruinarum. metuite quantum potestis eiusmodi casus exitia et in ista subuersione labentium nos experimenta perterreant. nimium praeceps est qui transire contendit conspexerit alium 2 I Cor. 4, 12. 13 Prou. 1, 24-31. 1 uoce C 5 putrefactis c 10 meam C, nostram v I 11 ut unusquisque v Bemetipsum v 12 exclamemus v 17 et cum v 19 similis C, simul et v 26 saciabuntur C 27 exh. nostra C, mea exh. v 30 alium conspexerit v cecidisse, et uehementer infrenis est cui non incutitur timor alio pereunte. amator est uero salutis suae qui euitat alienae mortis incursum. et ipse est prouidus qui sollicitus fit cladibus ceterorum, sicut Salomon adprobat dicens: as tutus uidens malum puniri, uehementer erudietur, et iterum: cadentibus impiis iusti uehementer terrebuntur. aduersaria est confidentia quae periculis uitam suam pro certo commendat, et lubrica spes est quae inter fomenta peccati saluari se sperat. incerta uictoria est inter hostilia arma pugnare, et inpossibilis liberatio est flammis circumdari nec ardere. quod Salomon abnegat dicens: quis alligabit in sinu suo ignem, uestimenta autem sua non comburet? aut quis ambulabit super carbones ignis, pedes uero non comburet? sic qui introit ad uxorem proximi sui, non erit inmunis neque omnis qui tangit eam. credite quaeso uos, credite diuinae fidei quin immo quam uestrae: quia omne quicquid pollicetur non potest fallere dicente Domino: facilius est, inquit, caelum et terram praeterire quam de lege unum apicem cadere. et iterum: caelum et terra transibunt, uerba autem mea non praeteribunt. ipsi ergo nos fallimus, quotiens inordinaliter credimus aestimantes per fidem nostram legis praecepta posse mutari, ut inter masculos et feminas speremus passim castitatem immobilem custodiri. 
3	Difficile quis uenenum bibet ot uiuet. uerendum est dormienti in ripa, ne cadat, cum dicat apostolus: qui se putat stare uideat ne cadat. in hac parte expedit bene timere quam male fidere. et utilius est infirmum se homo cognoscat ut fortis existat, quam fortis uideri uelit, et infirmus emergat. de qua re praesumptores obiurgat apostolus dicens: si qui putat se aliquid esse, cum nihil sit, se ipsum inplanat. pro certo inplanator proprius suam 4 Prou. 24, 12. (?) 10 Prou. 6, 27. 28. 16 Luc. 16, 17. . 18 Matth. 24, 96. 24 I Cor. 10, 12. 28 Gal. -6, 3. 2 uero est v 10 abnegat C, non negat v 13 introit C1, introierit C2 υ 14 uos C 8. l. m. 2 15 plus quam JErasmus nestrae C, nostrae v 20 praecepto 01 21 posae*om. v 23 bibat C1 uiuat C uerendum est] uel C 25 expedit plus υ ; cf. I. 15 28 quia C animam decipit, qui non canendo contraria noxiis rebus semet ipse commiserit. ille autem tutius sibi consulit, qui circa malos semper infidus species quascumque noxias extimescit. quorum distantiam Salomon disseruit dicens: sapiens timendo declinabit ab omni malo: insipiens autem confidens sui miscetur iniquo. magnum sapientiae diuinae consilium inuentum est, ubi timoris auxilio liberemur. magna conpendia prouidentiae, ut aliquando fiat uirtus et uictoria per timorem. magna remedia Dominus contulit ad salutem, ut habeat et timidus laudem, sicut Salomon repetit dicens: beatus uir qui ueretur omnia per metum. inaestimabilis Domini misericordia quae undique homini suo contulit gloriam et incomprehensibilis pietas quae secundum pugnas dedit et palmas, ut confidendo masculorum saeuitiam superemus et timendo feminarum blandimenta uincamus, dummodo et de uirtute et de infirmitate super nos glorias Dominus operetur, ut in omnibus et per omnia omnipotentem semet ipse testetur diuidens differentias triumphorum, ut tam consiliis quam uiribus a nobis bella uincantur nec si uinceremus solius fidei fortitudine contra Salomonem uacua essent opera sapientiae. nunc igitur sapientiae arma gestanda, ubi feminei et uiriles sexus certamen indicunt. unde Salomon sic instruit dicens: prudentiam, inquit, fac notam tibi, ut te seruet a muliere aliena et pessima. uidete nunc prudentiam in isto bello, non fidem nobis datam esse uictricem quae nos timiditatis remedio liberasset, et contemplamini quae sunt modo arma sumends, si uultis habere legis auxilia. estote timidi ut sitis intrepidi: et licet timor in certamine infirmitas esse uideatur, tamen secundum uerbum apostoli uirtus in infirmitate perficitur. separamini deprecor, separamini a contagione pestifera. 4 Pron. 14, 16. 10 Sir. 25, 11. ,20 Prou. 2, 16. 26 II Cor. 12, 9. 2 totros C* 7 liberentor Cl 11 undique C, unicuique v sno C, suam v 13 confitendo v 15 dominns glorias v 16 tam bm. C tn ras. 17 Nec C, ne v nicerimnt o 19 ge- standa rant C uiriliB v 20 indicunt C, indicitur υ 21 aliene C\' 27 a om. v 
4	Quantumcumque fuerit unusquisque longius ab aduersis, tantum non sentit aduersa. minus uoluptatibus stimulatur, qui non est, ubi frequentia est uoluptatum. et minus auaritiae molestias patitur qui diuitias non uidet, si admittimus apostolum pollicentem: qui uolunt, inquit, diuites fieri, incidunt in temptationem et muscipula et desideria multa et inutilia et noxia, quae mergunt hominem in perditionem et in interitum. non aliter temptationibus subiacet qui iunctus est feminae, in qua nihil est aliud nisi quod feriat proximantem. aculeus peccati facta est forma feminea, et mortis condicio non aliunde surrexit nisi de muliebri substantia. quod Salomon ad nostram sollicitudinem memorat dicens: a muliere factum eat initium peccati, et propter hanc omnes morimur. inde mortales tenemur nec timemus. quid si iam inmortales essemus? per mulierem liberauit nos equidem Christus, sed unde adhuc morimur formidare debemus. tunc liberatio ipsa constabit in femina, si a nobis mors reuincatur quae per feminam uenerat. ceterum si adhuc per mulierem circa nos scandala dominantur, liberationis Christi fecimus pro certo dispendium: siquidem in futurum spes ista libertatis manet quam fidei nostrae Christum credimus contulisse, ut tunc nobis omnino mulier non noceat, cum et ipsa mors fuerit euacuata. nam si modo putamus nos intemptabiles esse muliebribus iaculis, nihil ergo restat caelestibus regnis. non inmerito tales sensus apostolus increpat dicens: iam satiati estis, iam diuites facti estis: sine nobis regnatis, et utinam regnetis. tempus ergo adhuc luctaminis geritur et mors per feminam adhuc usque grassatur. mentior, si non uidemus exinde interitus plurimorum. quanti et quales episcopi et clerici simul et laici post confessionum uictoriarumque calcata certamina, post magnalia et signa uel mirabilia usque quaque monstrata noscuntur cum his omnibus naufragasse, cum uolunt in naui fragili nauigare ? quantos leones domuit una 4 I Tim. 6, 9. 12 Sir. 25, 24. 23 I Cor. 4, 8. 2 uolontatibus C 3 frequentia eat ubi 11 5 et C, et in v , muscipulam C1, muscipolas v 13 quid si] quasi fori . 21 mulieribus Cl 22 nihil C, quid v 23 apoatolns paulus C alterum iam C s. l. m . 2 24 regnawtis C 25 Luctaminia adhuc v 29 usque C a 1. m. 2 30 una 0, una muliehris v in A 12 infirmitas delicata, quae cum sit uilis et misera, de magnis efficit praedam? quod Salomon loquitur dicens: pretium meretricis quantum est panis unius, mulier autem pretiosas animas capit. 
5	 Ante noe ista tractantur, et nnllis terroribus coercemur: quid faceremus, si opinionibus tantummodo gestas historias audiremus? sed haec est semper incredulitas humanae duritiae, ut non solum audiendo sed etiam uidendo non credat alteros interisse, nisi et se ipsam uideat interire: nec sociorum mortibus quatitur, dum illos promeritos ant inualidos opinatur. se autem multum mereri aut multum ualere fiducialiter putat, nesciens praeberi cunctis exempla, cum fuerint quibusdam inrogata supplicia, sicut Dominus in euangelio proponit et dicit: pntatis\\quod hi Galilaei prae omnibus Galilaeis fuerunt peccatores qui talia passi sunt? non. dico uobis: nisi paenitentiam habueritis, similiter perietis sicut illi supra quos cecidit turris in Siloa, et occidit eos. putatis quoniam et ipsi debitores fuerunt prae omnibus hominibus habitantibus in Hierusalem? non. dico uobis: si non paenitueritis, similiter perietis. 
6	 Miramur si Adam per Euam seductus est, quem nulla morientium exempla praecesserant, nisi iussio una constrinxerat, cum modo nos nec innumerabiles mores nec infinita iussa conpescunt. quibus conuenienter dicitur secundum increpationem Domini: si Adam uidisset mortes quae factae sunt in uobis, olim in cilicio et cinere paenitentiam egisset. dico autem uobis, quoniam Adae tolerabilius erit in die iudicii quam uobis. longe satis longe sit pestis ista et lues et clandestina pernicies.s o quam inordinalis feminae propinquitas. iaculatur cuius uicina est delictorum latrocinium. non est in hac societate sinceritas adprobabilis quae conlisiones habet uelut quibusdam fluctibus turbulentis. in hac 2 Prou. 6, 26. 13 Luc. 13, 2-5. 2 quantum C, tantum v 3 onius panis ν 8 uideat C, uiderit v 14 fuerint v 18 non om. C 21 et nisi v uec et C 22 compescant v 24 sunt om. v 26 satis longe om. v ista C, illa v claudistina C 27 inordinabiiis v propinquitaa iaculatur cuius uicinia Erasmus 28 Jatrocinium] lenocinium coni. Graniua 29 turbulentaa C\'v familiaritate non habitat amica concordia, quoniam non nisi discordantes inimicitias creat. fecit equidem mulierem uiro Dominus adiutricem, sed serpentis inuidia personam sumpsit hostilem. quod si illa de uiro suo nata usque hodie ipsum cui iungitur temptat, quanto magis illa quae copulatur nulla lege coniuncta? et si illi qui duo sunt in carne una concreti temptationibus mutuis inuicem pungunt, quid faciunt hi qui in una carne nec nati nec iuncti sunt? praesertim quia nec Deum iam inuocare permittitur qui caritate alterius auocatur, nec sinitur cogitare diuina qui sibi quaesiit cui exhiberet domesticam curam. propter quod sic apostolus consulit dicens: uolo uos sine sollicitudine esse. qui sine uxore eat, sollicitus est quomodo placeat Deo: qui autem habet uxorem, cogitat quae sunt huius mundi, quomodo placeat uxori. quid est nunc quod in hac coniunctione delectet, in qua solae pugnae sunt? aut quae utilitas fauet, ubi non sunt officia coniugalia, quando nec ipsa possunt esse secura? causale est omne quod feminae est et copulatio eius semper infesta est. foedere suo magnas molestias praestat et cui adhaeserit contra fas, insanabilem ingerit plagam. de carbonibus scintillae dissiliunt, de ferro rubigo nutritur, morbos aspides sibilant, et mulier fundit concupiscentiae pestilentiam quam Salomon sic conparat dicens: de uestimentis procedet tinea, et a muliere iniquitas uiri. Volo scire quae sit affectio ista communis, quae morbi dissensio. 
7	 semper ambigua propositum suum nutantibus consiliis inpugnando conturbat. ut quid sibi adhibuit mulierem qui ducere contempsit uxorem ? omnis qui non manducauerit carnem , ut quid habitationem suam carnis apparatibus replet? et qui non biberit uinum, quid uini oblectatione perfruitur? quasi non ali quotiens habendo nec gustando 10 I Cor. 7, 32. 21 Sir. 42, 13. 1 quoniam quidem C sed quidem exp . 2 m. uiro d. C, uiro d. m. v 6 facient v 9 quaesiuit v 10 apostulua C 12 de dno quomodo C sed de dno exp . 13 sunt solae pugnao v 16 cansale] casuale coni. Erasmus 22 uiri sup . mulieris scr. C m. 2 24 quae propositum a 27 uini 0, uidendi v, om. Remboltu . 28 habendo (7, uidendo v, et bibendo Bemb . 12* copia esculentorum animus pascitur, et uini odoriferi sola fragrantia saepius suscitatur animus. quid per hypocrisin uult ab hominibus abstinens dici et in secreto carnibus et ebrietate distendi? habent multi diuitias quas suis usibus negant sed pro cupiditate conseruant, quibus si nulla cupiditas inhaesisset, nec cupiditatis insignia possiderent. at uero quia cupiditate possessi sunt, perfruuntur animo quod usu non tangunt. ita is qui despexit uinculum nuptiarum, et aliter femineis uinculis obligatur: quamuis nullo concubitu misceatur, desiderio tamen uisu conloquio coniunctione semper oblectatur. nam si desiderium feminae non haberet, numquam feminam suis oblectamentis adsumeret. immo uero insuper mihi suspectum placitum dedit qui non legitimam duxit et legitimam recusauit: nisi fallor, in publico argumentatus est hominibus promittere sanctitatem et in occulto sine uxore non esse. duo argumenta libidinis et sanctitatis hinc et inde miranda sunt, quae utraque inuicem tegunt et utraque inuicem produnt. ingeniosus eunuchus et moechus inuidet sibi dum consulit, et dum quaerit utrumque. neutrum fecit, ut sanctus minime deputetur qui non uera coniunctione perfruatur, cum Paulus apostolus dicat: alligatus es uxori? ne quaesieris solutionem. solutus es ab uxore? ne quaesieris uxorem. sed consentio non esse castitatis huius pudicitiam uiolatam: suspiciosis tamen malam porrigit famam et pudicitiae bonum frustra intrinsecus laborioso agone custodit, quod forinsecus efficit infamari, destruens magisterium Pauli apostoli prouidentis pariter et monentis: ut quid, inquit, libertas mea iudicatur ab infideli conscientia? si ego gratiae participo, ut quid blasphemor pro eo quod gratias ago? peius est quam moechia continentiam ducere criminosam et infamem facere sanctimoniam. blasphemiam ingerit religioni quam coluit, qui quod 18 I Cor. 7, 27. 24 I Cor. 10, 29. 1 esculentorum] axcolenter C flagiantia C 2 suscitatur BaepiuB v animum C1 7 is ex es C m. 2 8 xiinculis femineis v 14 sanctitatis et libidinis v 16 inuidit O . 17 neutrum C 8. l. m. 2 facit v ut ex utrum C m. 2 qui ex quam C m. 2 20 sed] sed quero C sed quero exp. m. 2 22 quod C, qui illud v 23 apostoli om. ν 25 ego C, ergo v 28 blasphemium C coluit acripsi, contulit C, colit Pamelius confitetur non ante omnes impleuerit, ne christianitas credatur esse fallacia et moechatio uideatur sanctitatis uelamento uestita. propter quod Dominus in euangelio sic praemonet dicens: sic luceat lumen uestrum coram hominibus, ut uidentes opera uestra bona magnificent patrem uestrum qui in caelis est. hoc sequitur et Paulus apostolus dicens: non ergo blasphemetur bonum uestrum. et iterum: prouidentes quae bona sunt non tantum coram Deo, sed etiam coram hominibus. et alio loco: sine ergo manducatis sine bibitis sine aliquid facitis, omnia in gloriam Dei facite et estote sine scandalo Iudaeis et Graecis et ecclesiae Dei, sicut et ego per omnia omnibus placeo. 
8	Sed opponitur forsitan, quid est quod ipse iterum dixerit: si hominibus placere uellem, Christi seruus non essem? numquam se quaecumque dicta legis excludunt, sed certis locis responsa uniuersa defixa sunt. illic placere hominibus non licet, ubi uoluntas hominum non capit Domini uoluntatem: ubi uero acceptant homines quod ad gloriam proficit Dei, innotescere omnibus ipse paulus apostolus praecepit. unusquisque, inquit, nostrum proximo suo placeat ad bonam aedificationem. quatenus ergo praemium sanctitatis exspectat, qui non solum blasphemiam sanctitatis ab infidelibus prouocat, sed etiam. fidelibus perniciosum praebet exemplar? ut infirmi snb praetexto dilectionis subtiliter fornicentur et pudicus inpudicissime castitatis praebeat magisterium destruens quod Paulus apostolus comminatur: periit, inquit, frater infirmus in tua scientia, propter quem Christus passus est? sic autem peccantes in fratres et 3 Matth. 5, 16. 9 I Cor. 10, 32. 25 I Cor. 8, 11. 12. 6 Rom. 14, 16. 13 GaL 1, 10. 7 Rom. 12, 17. 19 Rom. 15, 2. 2 uideatur esse v 7 quae bona sunt C, bona a 10 aliquid C I, aliud quid Cv in C a. I. m. 2 gloria 01 11 estote C 8.1... 2 et (ante eccL) C 8. I. m. 2 12 omnibus C 8.1 . m. 2 13 oppinitur O . forsan v 19 usque proximo suo C sed neque up. et Buo 8 . I. m. 2 20 quatenus C1, quale C2 ν 22 etiam infidelibus C 23 praeteitu C2 ν 26 scientia C, eonscientia v 27 et C 8. 1. M. 2 percutientes conscientiam ipsorum infirmam in Christum peccatis. et quidem non hoc iuuenibus tantum sed et senibus congruit fratrum inbecillitati consulere, ne senectus perire prouocet iuuentutem, ex qua debent omnia salutaria documenta procedere: sicut Eleazar in libro Machabaeorum profitetur et dicit: praemitti malos in infernum [quam patrias leges deserere]. non enim aetatem nostram dignum est fingere, ut multi adulescentium arbitrati Eleazarum nonaginta annorum transisse ad uitam alienigenarum et ipsi propter meam simulationem et propter modicum et corruptibile tempus uitae per me seducantur, et odium ac maculam senectuti meae adquiram. ille maluit uitam suam tormentis obicere quam cuiquam magister perditionis existere: et nos ubi nulla tormenta sunt, fluxibus solis saluandos fratres nolumus anteponere, nec contenti sumus sine ullis cruciatibus tam nobis prodesse quam ceteris, cum ille noluit uiuere moriturus, sicut inferius prosecutus est dicens: quamobrem fortiter uitam excedens senectute quidem dignus adparebo, adulescentibus quidem exemplum forte relinquam, ut prompto animo ac fortiter pro grauibus et sanctis legibus honesta morte secedant. cum hoc etiam laicos deceat, ne ant extraneis blasphemandi occasiones aut fraternitati opportunitatem fornicationis opponant, tum maxime clericos uehementer necessitas ista constringit, quibus ant religio blasphemata ant fraternitas perdita poenas duplices inrogabit. nec inuenient in iudicio Domini ullum omnino solacium qui alienigenis et fratribus peccandi fomitem ministrarut. propter quod sic Paulus apostolus Titum instruit dicens: te ipsum bonorum factorum praebens exemplum in doctrina, in integritate, in 5 U Mae. 6, 23-25. 17 II Mac. 6, 27. 28. 27 Tit 2, 7. 8. 1 ipsorum C, eorum ν christo ex christum C m. 2 2 et q.] equidem C 5 eleazarm v 6 quam p. 1. deserere om. C 7 aetate nostra v 11 macula C1 14 fluxibus] luxibus fort . nolumua B . £ « 17 uita v 18 prius quidem om . ν quidem C, avtem 4 codd Bahuii 19 prumpto C* 20 honestae morti succedant r 22 b. occasiones C, occasionem b. v oportunitatem C opponat C1 24 inrogauit C1 grauitate, in uerbo sano atque inreprehensibili, ut aduersarius reuereatur, nihil habens de nobis dicere mali. et iterum, omnibus, inquit, fidem bonam ostende, ut bonam doctrinam saluatoris Domini nostri praeferant in omnibus. sic et ad Timotheum scribit dicens: forma esto fidelibus in sermone, in conuersatione, in caritate, in fide, in castitate. quod et Petrus apostolus satiat dicens: conuersatio, inquit, uestra in gentibus bona sit, ut in eo in* quo detrahunt de nobis quasi de malefacientibus de bonis operibus uestris glorificent Dominum. et iterum, quoniam sic est, inquit, uoluntas Dei, ut benefacientes obmutescere faciatis stultorum hominum ignorantiam. 
9	Nec quisquam sibi proponat et dicat: habere nolo quod uincam. ho est enim dicere uiuere desidero sub ruina. quis tam stultus qui artari cupiat adlaborem, cui offertur delicatius triumphare? neque enim duplex triumphus est sub feminae praesentia probari uictorem quam. [est] in singularitate seruare sponsionem integram sanctimoniae. et cum sit unus titulus gloriarum, hoc loco uanus fortis est qui satis laborat et cum illo, qui parum laborando uicerit, pariter muneratur. quid quod ille quin immo consummatus adscribitur, qui se omni parte femineis affectibus ostentat abscisum ? quia eum Dominus in euangelio perfectum uocat qui totum suis usibus amputauerit patrimonium. certe etiam soli cuicumque cotidiani triumphi pro castitate non desunt, quia numquam desideriis carnalibus spiritum cessat infestare corpus humanum, quod apostolus adfirmat dicens: caro, inquit, concupiscit aduersus spiritum et spiritus aduersus carnem: haec enim inuicem aduersantur sibi ut non 3 Tit. 2, 10. 11 I Petr. 2, 15. 5 I Tim. 4, 12. 26 Gal. 5, 17. 8 I Petr. 2, 12. 3 ostendentem C 7 saciat 01, hortatur C2«; cf. Cypr. p. 755, 15 8 ut ex et C 9 in quo C, quod v de om. C quasi C, tamquam e malefacientibus C, malefactoribus v 10 deum a 15 rainam 01 qui C corr . 16 delicatius triumphare C, delicatus triumphua v 18 integram Bponsionem v 19 uanus C, unue Erae- mus 20 munerantur 01 21 parte C, tempore Erasmus 22 abscismim v 27 et spiritus C, spiritus autem v quaecumque uultis illa faciatis. habes nunc carnem tuam quam superes semper: quid tibi uis alteram uel conducere ? nemo super unam febrem cupit adhibere peiorem, ne incipiat hemitritaeo insanabili laborare, cui nullus ualeat medicus subuenire. neque aliquis super onus proprium tollit insuper alienum, ne oneribus duobus oppressus usque ad inferos demergatur. unde sic Hieremias propheta docet sanctitatis pondus singulariter sustinendum. bonum est, inquit, uiro cum portauerit iugum graue in iuuentutem sua: sedebit singulariter et silebit, quoniam tulit superse iugum graue. 
10	 Sed quisquam malignus obsecutor ad dictum apostoli Pauli confugiat dicens: onera uestra sustinete inuicem, et sic implebitis legem Christi. non haec sunt onera quae Paulus apostolus imperat subuehenda, sed ut tolerantes nosmet ipsos discordia nulla discernat et in temptationibus constitutis fratribus mutua praebeamus auxilia, non ut ipsi nobis temptamenta per feminas procuremus, sed ut temptamentorum magis pondera subleuemus: cum sciat quale sit sanctitatis iugum quod uix singulare portetur. de quo non solum ipse sed et Dominus noluit certum definire praeceptum, dicens: non omnes capiunt uerbum istud, sed quibus datum est. et iterum: qui potest capere capiat. si ergo difficile singulariter magnitudo istius ponderis toleratur, quomodo tolerabitur, si geminatis ponderibus praegrauetur? et si singulares paene omnes uix durant carnales insidias sustinere, quid faciunt illi qui ex utroque latere gladiis impendentibus non cunctantur incumbere ? plus dico. si mariti et uxores desideria coniugalia cotidie gerentes non sibi sufficiunt, quid agant illi qui ad augendas inpugnationes feminis sociantur ex inprouiso uel transeunter ad horam femineus aspectus occurrens uelut sagittas alienis oculis iactat. quando libera non est simplex 7 Thren. 3, 27. 12 GaL 6, 2. 20 Matth. 19, 11. 2 uel] uelle C 3 emitriteo C 4 labore Cl 5 super C s. I. m. 2 8 uero C1 11 confugiet dicentis v 15 mutua om. v 25 impendentibus om. C si C a. l . m. 2 26 uxoris C sibi non a 27 iugendas C 28 improuisu C 29 libera C sed. era 8. I . 8. 2 simplex ex supplicia C m. 2 reuerentia, quid illic geritur, ubi libertatis sumit mulier in contubernalitate constantiam? quando in domesticis negotiis nunc lacertos ac femora lanificis operibus nudat, nunc aestuans detegit membra, nunc fatigata iactatur aut in risu aliquando dissoluitur, nunc blanditias exhibet et quod eat uenenosius super cuncta psallere delectatur ant canere? cuius cantu tolerabilius est audire basiliscum sibilantem. contra quam Salomon sic nos cautos efficit dicens: cum saltatrice noli assiduus esse, nec audias illam, ne forte dispereas in efficacia eius. taceo reliqua quae magis pudenda sunt quam dicenda, solum hoc dico : in dolore uel in ira mulierem frangi conspicere iam non est sine mulcedine. quid dicimus si uideas iocundantem aut quod est deterius blandientem? semel dixerim: omnis inconueniens sodalitas mulierum gluten est delictorum et uiscum toxicatum quo diabolus aucupatur. incongrua est societas feminarum, quarum sodalitatem ita nos rursum Salomon docet in omnibus praecauere: cum aliena, inquit, muliere ne sedeas omnino et non alterceris cum illa in uino, ne forte declinet cor tuum in illam et sanguine tuo labaris in perditionem. 
