1	1. EUODII DE FIDE CONTRA MANICHAEOS. Unus deus pater et filius et spiritus sanctus, inuisibilis, inconprehensibilis, inenarrabilis, inuiolabilis. incoinquinabilis, qui solus habet inmortalitatem et lucem habitat inaccessibilem. ipse lumen uerum, uita et ueritas, bonus, summus et quaecumque de illo Lumanus sermo poterit enuntiare: quae tamen ab eo dantur, ut aliquo modo dici possint. ex quo omnia, per quem omnia, siue sedes siue dominationes siue principatus siue potestates; et omnia per ipsum et in ipso creata sunt, sicut in utroque testamento humilibus et pie quaerentibus manifestatur. ipsi gloria in saecula saeculorum amen. 
2	Huic Manichaeus aduersarium esse dicit nescio quem gentis principem tenebrarum, quem etiam adserit ingenitum nec habere auctorem, a quo creatus sit. et utique si ingenitus et non creatus est, per se ipsum est inmortalis. et si per se inmortalis est, non erit deus, qui habeat solus ium ό rtalitatem , et erit iam mendax apostolus, qui dicit de deo, quod solus habeat inmortalitatem. sed quia apostolus mendax non est, deus solus habet inmortalitatem. et ideo solus potestetanimisetquibus uult corporibus praestare inmortalitatem. 
3	Falsum est ergo, quod Manichaeus adserit nescio quam mali naturam cum principe suo non habere auctorem, sed esse ingenitam. deinde si ingenitus deus, ingenita etiam nunc gens tenebrarum, non erit contrarium ingenitum et ingenitum, uidens et uidens, regnans et regnans, uiuens et ninons , aeternum et aeternum. et si contrarium est bono malum, ex aliqua ergo parte discordabit bonum a malo; ex multa uero coniunctum et concordans erit et non iam 3 cf. I Tim. 6, 16 5 cf. Col. 1, 16 18 cf. I Tim. 6, 16 1 EXPLIOIT IN DNO - XPO FILIO DI TRACTATVS AVEELI AVGVSTINIDE FIDE CATOLICA. INCIPIT ADVERSVS MANICHEOS. VTKV EIVSDEM. VTRV SCI EVVODII IGNORATVR (oZ . 126x V fol . 88* P Incipit tractatos. Coutra Mauicheos fol . 25 M inscr. o.n. F 3 et incomprehensibilia et jnenarrabilis P 4 inquoinquinabilia Vet quoitlquinabilis P qui quia P 5 inbaccessibilem P 6 sumus V 7 otherit P 10 hutroque P 13 aduersarium (sar 8.l. am. 2) V ientis P 14 abere P 15 hauctorem P utique) utque P 18 quodJ qui V 21 quam quod FP 22 haberet (t in raa.) V aberet P sed] sa (& in ras.) YP 26 bon im PM malo VMP malo F discordatiit F 27 iam non M erit merum malum habendo tanta communia bona cum deo. si uero dicunt: ingenitum est in suo, nihil dicunt. nam ingenitum et ingenitum, aeternum et aeternum. in quantum ingenita et aeterna sunt, numquam erant contraria. num enim quia imperator in saa potestate magnus est et mediastinus in operatione sua contemptibilis eet , ideo mediastinus non erit homo, quia homo eat imperator? 
4	Sed si quisquam quaerit, quid sit malum, audiat apostolum dicentem: radix omnium malorum est cupiditas; quam quidam adpetentes a fide aberrauerunt et inseruerunt se doloribus multis. 
5	Cupiditas autem in unoquoque homine est non naturalis, sed uoluntaria ideoque dixit "quam quidam adpetentes". quod enim adpetendo habetur, si non adpeteretur, non haberetur. nam et dominus ostendens, quod in hominis potestate sit, ait: ant facite arborem bonam et fructum eius bonum; aut facite arborem malam et fructum eius malum. inactibus etiamconscriptis aLencio , quos ipsi accipiunt, sic scriptum est: etenim speciosa figmenta et ostentatio simulata et coactio uisibilium ne quidem ex propria natura procedit, sed ex homine, qui per se ipsum deterior effectus est per seductionem. ipse etiam Manichaeus non potuit nisi fateri animas. etiam quas dicit ad dei substantiam pertinere, propria uoluntate peccare. nam sic in secundo Thesauri libro dicit: hi uero, qui neglegentia sua a labe praedictorum spiritunmpurgari se minime permiserintmandatisquediuinis ex integro parum obtemperauerint legemque sibi a suo liberatore datam seruare plenius noluerint neque, ut decebat, sese gubernauerint et cetera. item in epistula Fundamenti. sic dicit de illis animabus: quae mundi amore errare se a priore lucida sua natura passae sunt atque inimicae lumini sancto extiterunt aperteque in perniciem sanctorum 8 I Tim. 6, 10 14 Matth. 12, 83 1 habendo] canendo F 2 et ingenitum] et ienitum P 4 contrarifl P numł non FVP 5 mediastrinns VP mediasti*uns (r in i corr. et i er.) F contemptibilia est] conte ̃ placionesua contSplabilis sit P 6 mediastrinus VP est imperator) et imperator ent P » qua V 9 pererrauerunt VPMF 11 hunoquoque-P 12 uoluntarię V uoluntaria (a ex e m. 2 carr.) F 15 fructus V 16 Leutio V 17 haccipinnt P abus.... 18 coactio] quohactio P ne] nec P 21 animis (corr . m. 2) F substantia Y 22 peccare om. VF tesauri PF 23 hi (c er.) F negligentie (g alt. corr. m. 2 cx i) P negentia V sua a labej nue allaboreP 24 spirituum] spO VP purgari (a s.l.) F purgare P miiuine F permiserit P 25 legemquf V 26 liberato F 29 ne nature P lumine V lumine (i ex e corr.) F2 luminis P 80 pernicif V elemenlorum se armarunt et igneo spiritui obsocntae sunt. infesta etiam sua persecutione sanctam ecclesiam atque electos in eadem constitutos caelestium praeceptorum obseruatores adflixerunt, a beatitudine et gloria terrae sanctae arcentur. et quia a malo se superari passae sunt, in eadem mali stirpe perseuerabunt pacifica illa terra et regionibus inmortalibus sibimet interdictis. quod ideo illis eueniet. quia ita iniquis operibus se obstrinxerunt. ut a uita et libertate sanctae lucis alienarentur. non igitur poterunt recipi in regna illa pacifica, sed configentur in praedicto horribili globo, cui etiam necesse est custodiam adhiberi. unde adhaerebunt his rebus animae eaedem, quas dilexerunt, relictae in eodem tenebrarum globo suis meritis id sibi conquirentes. neque enim futura haec cognoscere stuauerunt atque ab isdem, v cum tempus dabatur, se segregarunt. 
6	Rogo uos, ubi audiuntur haec uerba, dubitatis adhuc Manichaeum adactum esse confiteri esse peccatum propriae uoluntatis? non enim unum uerbum inde dixit. sed tam multa, ut quamuis graui somno raeraom excitaret. dixit: neglegentia sua; dixit: minime permiserint; dixit: parum obtemperauerint; dixit: seruare noluerint; item dixit: obsecutae sunt; dixit: se superari passae sunt; dixit: se obstrinxerunt; dixit: suis meritis id sibi conquirentes; dixit: neque enim futura haec cognoscere studncrunt atque ab isdem, cum tempus dabatur, se segregauerunt. et uos dubitatis dicere propria uoluntate peccari? 
7	Iterum ipse dicit in eadem epistula: lucis autem succisiuam partem, hoc est animas peccatrices, et uos non dicitis peccare nisi gentem tenebrarum? sed quid de isto loquar, qui quamuis erraret, tamen euidentissima ueritate hoc conatus est dicere ? cum psum dominum nostrum Iesum Christum nolitis intellegere dicentem 2 etiam] enim P 8 electus VFl eandem F constitutus.F1V 5 et quiaj quia V malo se] malos VP ex superare V 6 male P 8 obstrixerunt P 10 configentur] confringentur PM 13 eadem V e*ide ̃ Ince (ift marg . a m 2 eadS) F relictae ) relicto V relicta F* 14 conquiren- tes] n ̃ querentes P 15 hisdem. FVP 16 se s. I. V segregauerunt VM 18 adaetum] edactum VF (in tnarg. m . 2 audactll siue sedatd F) & actum P 19 ut] in V qudluisomno uersum P 20 excitare P 21 permisef V permiserit P 28 supera V suis] se suis P 24 enim neque P 25 hisdem FV 26 et-peccari] om. FV 28 eapdem F • eandem FP epistols P succisiuaml subsitiuft P succiua M subsiciuam V subsiciua ̄ (in marg . I succidius) F 81 uaritate P 82 dicentes P ignem praeparatum esse peccatoribus et diabolo et angelis eius, quos omnes uoluit intellegi peccatores; non enim iniustitia est apud deum, ut damnet eos, qui nihil peccauerunt. 
8	Peccare enim quid aliud est nisi in ueritatis praeceptis uel in ipsa non stare ueritate? quod Bi non uoluntate faciunt peccatores. iniuste iudicantur. pertinere autem et angelos ad iudicium, apostolus ostendit dicens: nescitis, quoniam angelos iudicabimus? non autem pertinerent ad iudicium, quo iudicantur, si non pertinerent ad peccatum, quo rei fiant, nec possint merito iudicari. non enim homines iusti de iustis angelis iudicaturi sunt, quibus similes erunt, sed utique de peccatoribus. malefacti sui ergo per cupiditatem quisque auctor est. 
9	Est ergo in potestate. ut sit cupiditas: et ideo etiam malum in potestate est. in potestate ergo est, quod in uoluntate esse non debet; malum enim non potest esse natura nec substantia nec nita , quia haec bona sunt, in quantum sunt. sed et si aliquos natura- Uter dicimus malos, propter originem ueteris peccati dicimus, in quo iam nostra mortalitas nascitur. totum itaque quod uocatur malum in hominibus, peccatum est et poena. peccatum fit ab anima rationali, cui liberum uoluntatis arbitrium est; et poena infligitur iustitia dei, quae nihil facit iniuste. aduersus haec solita caecitate Manichaei latrant; et cum conuincuntur naturam non esse malum, sed in potestate esse hominis facere bene ant male, dicunt non esse animae liberam uoluntatem et non uident caecitatem suam. 
10	Quis enim non clamet stultum esse praecepta dare ei, cui liberum non est, quod praecipitur facere, et iniquum esse eum damnare, cui non fuit potestas iussa conplere? et has iniustitias et iniquitates miseri non intellegunt deo se ascribere. sed quid uerum est nisi et dominum dare praecepta et animas liberae esse uoluntatis et malum naturam non esse, sed esse auersionem a dei praeceptis et esse iustum iudicium dei, quo damnet peccantes ? 
